Id,Title,OriginalTitle,FilePath,Year,Summary,Rating,Duration,Genres,TmdbId,TmdbPosterUrl,TmdbRating,TmdbOverview,MustDelete
6,10 nap anyu nélkül,10 jours sans maman,/data/movies/10.Days.Without.Mom.2019.WEBRip.x264.HuN-DWM/10.Days.Without.Mom.2019.WEBRip.x264.HuN-DWM.mkv,2020,"Antione-t, a sikeres HR vezetőt már nem sok választja el attól, hogy előléptessék. A rafinált üzletember arra azonban nem számít, hogy imádott felesége fogja a legnagyobb próbatétel elé állítani: Isabelle ugyanis úgy dönt, vakációzik egyet egyedül. Bár gondosan lediktálja, hogy mik is a feladatok a gyerekekkel arra a 10 napra, amíg ő nem lesz otthon, de hamar kiderül, hogy ez édes kevés lesz Antoione boldogulásához.",0,97827,Vígjáték|Családi,605735,https://image.tmdb.org/t/p/w500/ih0727BoT24cg87aOVfppZyqzNQ.jpg,6,"Antoine is the Head of HR of a big company. Managing people is his thing, so when his overwhelmed wife suddenly decides to go on holiday and leave him with the responsibility of the house and their four kids, he knows it will be a piece of cake for him. But Antoine has drastically underestimated the mess that four mischievous kids can cause...",False
7,1492 - A Paradicsom meghódítása,1492 : Christophe Colomb,/data/movies/1492.Conquest.of.Paradise.1992.720p.BluRay.2xHUN.ENG.x264-Eastwood/1492.Conquest.of.Paradise.1992.720p.BluRay.2xHUN.ENG.x264-Eastwood.mkv,1992,"1492 augusztusának egy hajnalán legénységével, háromárbocos vitorlásával és két kísérőhajójával útnak indult Spanyolországból egy tengerész, hogy bizonyítsa a világnak elméletét. Úgy gondolta ugyanis, hogy létezik egy új, a jártnál jóval rövidebb és biztonságosabb tengeri útvonal a kincseket rejtő Napkelet felé. A hetekig tartó kalandos út során azonban nem jutott el eredeti céljához, hanem egy addig ismeretlennek számító vidékre sodródott, ahol paradicsomi állapotok fogadták, és a különös őslakosok is békésnek tűntek. A viharos életű tengerészt Kolumbusz Kristófnak hívták, a Paradicsom pedig nem volt más, mint Amerika! Az új kontinens felfedezéséről szóló történelmi eposzt Vangelis zenéje és Ridley Scott gyönyörűen megkomponált, szemet gyönyörködtető képei teszik feledhetetlenné!",3,156046,Dráma|Adventure,1492,https://image.tmdb.org/t/p/w500/3effmbI6BbGW9i0HzEDfVGuOsvz.jpg,6.3,1492: Conquest of Paradise depicts Christopher Columbus’ discovery of The New World and his effect on the indigenous people.,False
8,1917,,/data/movies/1917.2019.1080p.BluRay.DDP7.1.x264.HUN-PTHD/1917.2019.1080p.BluRay.DDP7.1.x264.HUN-PTHD.mkv,2019,"Javában zajlik az I. világháború, amikor két fiatal brit katonát egy lehetetlennek tűnő küldetéssel bíznak meg: az ellenséges vonalon kell áthatolniuk, hogy egy üzenetet kézbesítsenek bajtársaiknak. Egy napjuk van, hogy célhoz érjenek, különben 1600 társuk, köztük egyikük testvére is odavész. A két bátor harcos hihetetlen elszántsággal indul neki a német frontnak…",8.8,118969,Dráma|Háborús,530915,https://image.tmdb.org/t/p/w500/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,7.988,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",True
6187,24-es,Nr. 24,/data/movies/Number.24.2024.720p.NF.WEB-DL.DDP5.1.H.264.HUN.NOB-PTHD/Number.24.2024.720p.NF.WEB-DL.DDP5.1.H.264.HUN.NOB-PTHD.mkv,2024,A második világháború küszöbén egy norvég fiatalember nácik ellen szervezett ellenállási mozgalma egészen új irányba tereli az ő – és a hazája – jövőjét.,10,112293,Biography|Dráma,1222248,https://image.tmdb.org/t/p/w500/qv7crkk9fzMrvj3WqWU6PiFm12f.jpg,7.154,"On the brink of the Second World War, a young Norwegian man's drive to resist the Nazis sets a new course for his future – and the future of his country.",False
11,28 héttel később,28 Weeks Later,/data/movies/28.Weeks.Later.2007.1080p.BluRay.DTS.x264.HuN-TRiNiTY/trinity-28.weeks.later.1080p.mkv,2007,"Fél év telt el azóta, hogy egy vírus néptelen metropolisszá változtatta Londont. Lakóit gyilkos dühre sarkallta: a fertőzöttek egymást irtották ki. Az Egyesült Államok megszálló hadserege azóta helyreállította a rendet, szigorúan ellenőrzött és védett körzeteket hozott létre, és a kevés túlélő visszaköltözhet a városba. Közöttük van Don is a gyerekeivel. A kiskamaszok az eltűnt anyjuk után kutatnak a romok között, és meglepetésükre meg is találják. Az orvosok vizsgálni kezdik az asszonyt, hogyan maradhatott életben a fertőzött területen. Közben újra felüti fejét a járvány.",7.3,100102,Horror|Thriller,1562,https://image.tmdb.org/t/p/w500/oix0aNv1lvW3nUGspUyvSIBlpbs.jpg,6.606,"Twenty-eight weeks after the spread of a deadly rage virus, the inhabitants of the British Isles have lost their battle against the onslaught, as the virus has killed everyone there. Six months later, a group of Americans dare to set foot on the Isles, convinced the danger has passed. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.",False
9,28 nap,28 Days,/data/movies/28.Days.2000.720p.HDTV.H264.AC3.HUN-N&R/28.Days.2000.720p.HDTV.H264.AC3.HUN-N&R.mkv,2000,"Gwen Cummings jó fej lány: imád bulizni, imád inni, és élvezi, ha forog körülötte a világ. Így történhet, hogy egy lopott limuzinnal egészen egy házfalig jut. Az ítélet nem túl szigorú: Gwennek csupán egy hónapot kell eltöltenie ital és a barátja nélkül, elvonókúrán. Új, átmeneti otthonában különös alakokkal és különös szokásokkal kénytelen megbarátkozni. Az intézet szigorú igazgatója hatására azonban lassanként sikerül emberszámba vennie az őt körülvevő sok csodabogarat. És szerencsére, ebben az intézetben együtt kezelik a nőket és férfiakat.",3.3,99235,Dráma|Vígjáték,10468,https://image.tmdb.org/t/p/w500/tlgz7Shx0UavR5pyITeJ2mUHKFI.jpg,6.152,"After getting into a car accident while drunk on the day of her sister's wedding, Gwen Cummings is given a choice between prison or a rehab center. She chooses rehab, but is extremely resistant to taking part in any of the treatment programs they have to offer, refusing to admit that she has an alcohol addiction.",False
10,28 nappal később,28 Days Later,/data/movies/28.Days.Later.2002.720p.RETAiL.BluRay.DTS.HUN.x264-AiR/28.Days.Later.2002.720p.RETAiL.BluRay.DTS.HUN.x264-AiR.mkv,2002,"Jim felébred a kómából, de senkit sem talál a kórteremben. Üres a folyosó, az egész épület, üres és néma az egész város. Jim semmit sem ért, rémülten bóklászik a kihalt metropoliszban. Végül rátalál egy emberpár: túlélő, mindentől rettegő menekülők. És nemsokára találkoznak azokkal is, akik elől menekülni kell. Egykor emberek voltak, ám a gyilkos vírusnak köszönhetően már csak fékevesztett őrültek, akik ölni akarnak. Jim huszonnyolc napig feküdt a kórházban, de ez elég volt ahhoz, hogy Anglia szinte elnéptelenedjen.",8.7,113122,Horror|Thriller,170,https://image.tmdb.org/t/p/w500/sQckQRt17VaWbo39GIu0TMOiszq.jpg,7.2,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",False
7026,28 évvel később,28 Years Later,/data/movies/28.Years.Later.2025.1080p.MA.WEBRip.DoVi.HDR10.DDP.5.1.Atmos.x265.HuN-TRiNiTY/28.years.later.2025.1080p.ma.webrip.dovi.hdr10.ddp.5.1.atmos.x265.hun-trinity.mkv,2025,"London kiürült. Egy szörnyű vírus hihetetlenül rövid idő alatt elpusztította a lakóit, és egyetlen véletlen túlélő bolyong a néptelen utcákon – de neki sem túl jók az esélyei. Ez történt majd harminc évvel ezelőtt. A biológiai fegyverrel kísérletező szupertitkos laborból kiszabadult, az emberből dühöngő, kegyetlen zombit létrehozó vírus ereje azóta sem csökkent, és a néhány túlélő csupán a vasszigorral fenntartott, egymástól távol eső karanténoknak köszönheti, hogy nem betegedett meg. Az egészségesek egyik kis csoportja egy szigeten él. Egyetlen, jól őrzött híd köti őket össze a világgal. De a sziget néhány lakója kénytelen behatolni a szárazföld rejtélyes és vérszomjas mélyére, egy fiatal fiúnak orvost kell találnia, hogy segítsen haldokló édesanyján. Titkok és szörnyűségek várják őket: olyan mutációk, amelyek már nemcsak a fertőzötteket, hanem az egészségeseket is átalakították.",8.8,115100,Horror|Thriller,1100988,https://image.tmdb.org/t/p/w500/n5FygjEppOvac6yEaowi26nTyw3.jpg,6.6,"Twenty-eight years after the Rage virus outbreak, a heavily-defended island survives connected to the mainland by a single causeway. When one of the group leaves the island into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",False
6915,40 és annyi,This Is 40,/data/movies/This.Is.40.2012.TC.1080p.BluRay.x264.DTS.Only.Hun-MrDeta/This.Is.40.2012.TC.1080p.BluRay.x264.DTS.Only.Hun-MrDeta.mkv,2012,"Felkoppintva nem hivatalos folytatásában újra bekapcsolódhatunk Debbie (Leslie Mann) és Pete (Paul Rudd) életébe, akik immár a negyedik X felé bandukolva próbálnak megbirkózni a középkorúakat elérő krízisekkel, valamint a házasság és a gyereknevelés okozta kihívásokkal.",5.2,133747,Vígjáték|Romantikus,89492,https://image.tmdb.org/t/p/w500/mzUuOIFoVkRTHACRb58vm6mkbBN.jpg,5.895,"Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.",False
5872,9 dal,9 Songs,/data/movies/9.Songs.2004.1080p.BluRay.DTS.x264.HuN-CRLS/crls-9.songs.1080p.mkv,2004,"Matt brit geológus, aki jégbõl vett fúrásmintákat elemez, így dekódolja az összepréselt rétegek több ezer éves jégkori történetét. Miközben teljes elszigeteltségben végzi kutatómunkáját az Antarktiszon, azon kapja magát, hogy élete egyik esztendejét is elemezni kezdi. Néhány intenzív emlékbõl próbálja rekonstruálni, hogy volt-e bármi jelentõsége, és ha igen, mekkora Lisával, az amerikai vendéghallgatóval folytatott (és már véget ért, vagy legalább is jegelt) viszonyának, valamint azt, hogy vajon kevésbé volt-e akkor magányos, mint most, a jeges pusztaság közepén. 9 rock koncerten és ugyanennyi erotikával fűtött jeleneten keresztül láthatjuk a szenvedélyes és minden tabutól mentes kapcsolat krónikáját.",2.3,69670,Dráma|Romantikus,27,https://image.tmdb.org/t/p/w500/91O7z0vo7MiNWd5xD2BoivwbQsb.jpg,5.528,"Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.",False
